Participant ID ,Session ID ,Study ID ,Session,Age ,Sex ,Handedness ,Highest level of Education/Training ,If ,If ,If ,q5,Date ,Time to complete the task ,Volume of Brain Removed ,LH Instrument Type ,RH Instrument Type ,Pathlength of LH instrument ,Pathlength of RH instrument ,Percentage of Tissue Removed 0 ,Percentage of Tissue Removed 1 ,Do you play a musical instrument? ,q9,q10,q11,q12,q13,q14,Date ,Time to complete the task ,Volume of Brain Removed ,LH Instrument Type ,RH Instrument Type ,Pathlength of LH instrument ,Pathlength of RH instrument ,Percentage of Tissue Removed 0 ,Percentage of Tissue Removed 1 
72767,187,ms001,1,23,Male,Right,Med School,,,,Yes, 13-07-17,636.359,0.642398, SuctionCurved7Fr, Bipolar,7221.4,9413.24,1.49193,0.74721,No,Strongly agree,Neutral,Disagree,Agree,Strongly agree,Strongly agree, 13-07-17,636.359,0.642398, SuctionCurved7Fr, Bipolar,7221.4,9413.24,1.49193,0.74721
72767,188,ms001,2,23,Male,Right,Med School,,,,Yes, 13-07-18,623.18,2.42192, SuctionCurved7Fr, Bipolar,9501.38,10294.6,5.62477,50.9828,No,Strongly agree,Neutral,Disagree,Agree,Strongly agree,Strongly agree, 13-07-18,623.18,2.42192, SuctionCurved7Fr, Bipolar,9501.38,10294.6,5.62477,50.9828
72767,189,ms001,3,23,Male,Right,Med School,,,,Yes, 13-07-23,661.983,5.7962, SuctionCurved7Fr, Bipolar,12649,10447.2,13.4613,86.6098,No,Strongly agree,Neutral,Disagree,Agree,Strongly agree,Strongly agree, 13-07-23,661.983,5.7962, SuctionCurved7Fr, Bipolar,12649,10447.2,13.4613,86.6098
72767,190,ms001,4,23,Male,Right,Med School,,,,Yes, 13-07-25,611.844,3.04998, SuctionCurved7Fr, Bipolar,9127.75,8889.17,7.0834,71.988,No,Strongly agree,Neutral,Disagree,Agree,Strongly agree,Strongly agree, 13-07-25,611.844,3.04998, SuctionCurved7Fr, Bipolar,9127.75,8889.17,7.0834,71.988
72768,191,ms002,1,23,Male,Right,Med School,1,,,Yes, 13-07-17,655.099,2.26841, SuctionCurved7Fr, Bipolar,7464.92,9454.13,5.26826,12.2102,Yes,Agree,Strongly agree,Agree,Neutral,Agree,Neutral, 13-07-17,655.099,2.26841, SuctionCurved7Fr, Bipolar,7464.92,9454.13,5.26826,12.2102
72768,192,ms002,2,23,Male,Right,Med School,1,,,Yes, 13-07-18,635.161,2.54346, SuctionCurved7Fr, Bipolar,9890.59,9703.69,5.90704,42.6899,Yes,Agree,Strongly agree,Agree,Neutral,Agree,Neutral, 13-07-18,635.161,2.54346, SuctionCurved7Fr, Bipolar,9890.59,9703.69,5.90704,42.6899
72768,193,ms002,3,23,Male,Right,Med School,1,,,Yes, 13-07-19,323.862,2.32592, Bipolar, SuctionCurved7Fr,2782.7,7717.17,5.40182,21.1315,Yes,Agree,Strongly agree,Agree,Neutral,Agree,Neutral, 13-07-19,323.862,2.32592, Bipolar, SuctionCurved7Fr,2782.7,7717.17,5.40182,21.1315
72768,194,ms002,4,23,Male,Right,Med School,1,,,Yes, 13-07-31,613.455,4.4461, SuctionCurved7Fr, Bipolar,12251.2,5280.1,10.3258,74.4218,Yes,Agree,Strongly agree,Agree,Neutral,Agree,Neutral, 13-07-31,613.455,4.4461, SuctionCurved7Fr, Bipolar,12251.2,5280.1,10.3258,74.4218
72847,195,ms003,1,23,Female,Right,Med School,1,,,Yes, 13-07-18,630.641,2.13576, SuctionCurved7Fr, Bipolar,6065.03,4824.07,4.96017,35.2528,Yes,Neutral,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree, 13-07-18,630.641,2.13576, SuctionCurved7Fr, Bipolar,6065.03,4824.07,4.96017,35.2528
72847,196,ms003,2,23,Female,Right,Med School,1,,,Yes, 13-07-19,616.779,2.75269, Bipolar, SuctionCurved7Fr,2545.89,8850.34,6.39296,72.154,Yes,Neutral,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree, 13-07-19,616.779,2.75269, Bipolar, SuctionCurved7Fr,2545.89,8850.34,6.39296,72.154
